word,translate,ipa
triggering[sound:triggering.mp3],Desencadenante,ˈtrɪgərɪŋ
get into[sound:get_into.mp3],Meterse en,/gɪt ˈɪntu/
back up[sound:back_up.mp3],Apoyo,/bæk əp/
elbow[sound:elbow.mp3],Codo,ˈɛlˌboʊ
to take advantage of[sound:to_take_advantage_of.mp3],Aprovechar,/tɪ teɪk ædˈvæntɪʤ əv/
weak[sound:weak.mp3],Débiles,wik
bible[sound:bible.mp3],Biblia,ˈbaɪbəl
chapter[sound:chapter.mp3],Capítulo,ˈʧæptər
acted[sound:acted.mp3],Actuó,ˈæktɪd
suddenly[sound:suddenly.mp3],Repentinamente,ˈsədənli
"oh, snap[sound:oh,_snap.mp3]","Oh, chasquido","/oʊ, snæp/"
in spite of[sound:in_spite_of.mp3],A pesar de,/ɪn spaɪt əv/
